Previous designations	Designation	Isolated by	Plant ID	abbreviation 	unique ID#	Oplant_ID	colony color	colony size	crystals	amplifies with CTS	amplifies with GyrB			
	KCI 1-1	KH	Cichorium intybus	cicint	0001	cicint1	gold	large	yes					
	KCI 1-2	KH	Cichorium intybus	cicint	0002	cicint2	pale yellow	tiny	no					
	KCI 1-3	KH	Cichorium intybus	cicint	0003	cicint3	gold	medium	"yes, scattershot"					
	KCI 1-4	KH	Cichorium intybus	cicint	0004	cicint4	pink	tiny	no					
	KCI 2-1	KH	Cichorium intybus	cicint	0005	cicint5	yellow	medium	yes					
	KCI 3-1	KH	Cichorium intybus	cicint	0006	cicint6	pale yellow	small	yes					
	KCI 3-2	KH	Cichorium intybus	cicint	0007	cicint7	pale yellow	small	no					
	KCI 3-3	KH	Cichorium intybus	cicint	0008	cicint8	yellow	medium	"yes, scattershot"					
	KCI 3-4	KH	Cichorium intybus	cicint	0009	cicint9	pink	tiny	no					
	KCI 3-5	KH	Cichorium intybus	cicint	0010	cicint10	pink	tiny	no					
	KCI 3-6	KH	Cichorium intybus	cicint	0011	cicint11	cream	tiny	no					
	KCI 3-7	KH	Cichorium intybus	cicint	0012	cicint12	pale yellow	small	no					
	KLF 1-1	KH	Lactuca floridana	lacflori	0013	lacflori13	pale yellow	large	"yes, spearlike"					
	KLF 2-1	KH	Lactuca floridana	lacflori	0014	lacflori14	pale yellow	small	yes					
	KLF 2-2	KH	Lactuca floridana	lacflori	0015	lacflori15	yellow	medium	"yes, scattershot"					
	KLF 2-3	KH	Lactuca floridana	lacflori	0016	lacflori16	cream	small	"yes, caltrops"					
	KLL 1-1	KH	Lactuca ludoviciana	lacludov	0017	lacludov17	gold	large	no					
	KLL 1-10	KH	Lactuca ludoviciana	lacludov	0018	lacludov18	pink	tiny	no					
	KLL 1-2	KH	Lactuca ludoviciana	lacludov	0019	lacludov19	pale yellow	small	yes					
	KLL 1-3	KH	Lactuca ludoviciana	lacludov	0020	lacludov20	gold	small	yes					
	KLL 1-4	KH	Lactuca ludoviciana	lacludov	0021	lacludov21	pale yellow	tiny tiny	no					
	KLL 1-5	KH	Lactuca ludoviciana	lacludov	0022	lacludov22	white	small	"yes, lumpy"					
	KLL 1-6	KH	Lactuca ludoviciana	lacludov	0023	lacludov23	peach	medium	no					
	KLL 1-7	KH	Lactuca ludoviciana	lacludov	0024	lacludov24	peach	medium	yes					
	KLL 1-8	KH	Lactuca ludoviciana	lacludov	0025	lacludov25	orange	tiny tiny	no					
	KLL 1-9	KH	Lactuca ludoviciana	lacludov	0026	lacludov26	yellow	small	yes					
	KLL 2-1	KH	Lactuca ludoviciana	lacludov	0027	lacludov27	pale yellow	medium	yes					
	KLL 2-2	KH	Lactuca ludoviciana	lacludov	0028	lacludov28	peach	medium	yes					
	KLL 2-3	KH	Lactuca ludoviciana	lacludov	0029	lacludov29	gold	medium	"yes, lumpy"					
	KLL 2-4	KH	Lactuca ludoviciana	lacludov	0030	lacludov30	yellow	large	"yes, lumpy"					
	KLL 2-5	KH	Lactuca ludoviciana	lacludov	0031	lacludov31	yellow	medium	yes					
	KLL 2-6	KH	Lactuca ludoviciana	lacludov	0032	lacludov32	cream	large	"yes, lumpy"					
	KLL 2-7	KH	Lactuca ludoviciana	lacludov	0033	lacludov33	peach	medium	yes					
	KLL 2-8	KH	Lactuca ludoviciana	lacludov	0034	lacludov34	peach	small	yes					
	KLL 2-9	KH	Lactuca ludoviciana	lacludov	0035	lacludov35	yellow	medium	"yes, lumpy"					
